UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"53960258","0","223","20","5521",בית כנסת - פועלי אגודת ישראל,,"1","52283549","0","0",179476.37682700000,662101.03749400005,"0",
"54013338","0","223","20","5501",מקווה נשים - זכרון מאיר,,"2","52319174","0","0",184392.75212700001,665789.63109399995,"0",
"53961599","0","223","20","5521",בית כנסת - סגולה,,"1","52338584","0","0",186947.55612699999,671199.63589399995,"0",
"53961602","0","223","20","5521",בית כנסת - שארית הפליטה,,"1","52290107","0","0",189776.84472699999,659939.54749400006,"0",
"53961260","0","223","20","5521",בית כנסת - כל ישראל,,"1","53319084","54450675","252",189561.55932700000,664870.95309400000,"0",
"53961270","0","223","20","5521",בית כנסת - תפארת ישראל,Tif'eret Yisra'el Synagogue,"1","52263163","0","0",183233.49842700001,666601.36769400002,"0",
"53961272","0","223","20","5521",בית כנסת - אהבת שלום,Ahavat Shalom Synagogue,"1","52282214","0","0",186870.69502700001,663794.92729400005,"2017",2018-04
"53960611","0","223","20","5501",מקווה - עולי הגרדום,,"1","52362798","0","0",186282.46502700000,659347.47849400004,"0",
"53961338","0","223","20","5521",בית כנסת - היכל יהודה,,"1","52322967","0","0",179704.42292700001,666020.50789400004,"0",
"54013178","0","223","20","5521",בית כנסת - ברית ישראל,,"1","52094689","0","0",184050.42652700000,665762.96129400004,"0",
"53960886","0","223","20","5521",בית כנסת - תהילות ה,,"1","52348453","0","0",191304.35282700000,665066.69629400002,"0",
"53960888","0","223","20","5521",בית כנסת - משכן שלמה,,"1","52316130","0","0",185916.65452700001,665607.56749399996,"0",
"53960946","0","223","20","5521",בית כנסת - דברי חיים,,"1","52395521","0","0",188361.09782699999,665495.51349399996,"2017",2018-04
"53960897","0","223","20","5521",בית כנסת - בית הלל פנחס אשר,,"1","52229079","0","0",184817.06362700000,664887.75559399999,"0",
"53960280","0","223","20","5521",בית כנסת - חוג חתם סופר מחנה,,"1","52318884","0","0",184085.17012699999,666098.23029400001,"0",
"53960297","0","223","20","5521",בית כנסת - בית אל,Bet El Synagogue,"1","52566874","0","0",176095.80472700001,642821.53649400000,"0",
"53961622","0","223","20","5521",בית כנסת - הר צבי,,"1","53360831","0","0",220695.57502700001,633172.17849399999,"0",
"53961625","0","223","20","5521",בית כנסת - אור שמואל,,"1","52704323","0","0",220591.66912700000,633028.45799400005,"0",
"53961629","0","223","20","5521",בית כנסת - דרך החיים,Derekh HaHayyim Synagogue,"1","52247126","0","0",196006.48242700001,661810.01489400002,"0",
"53961632","0","223","20","5521",בית כנסת - אהל גבריאל,,"1","52285313","0","0",182794.77602700001,661665.47621400002,"0",
"53961647","0","223","20","5501",מקווה - שיכון ה,,"1","52312410","0","0",185334.42002699999,666363.84429399995,"0",
"53961651","0","223","20","5521",בית כנסת - ארזי הלבנון,,"1","52302129","54451267","252",188402.51622699999,666582.06129400001,"2017",2018-04
"54013353","0","223","20","5521",בית כנסת - אפריון,,"1","52313060","0","0",196510.04172700000,667741.95429400005,"0",
"53961341","0","223","20","5501",בית החסידים תפארת משה,Tif'eret Moshe Hasidim Home,"1","52958111","0","0",184179.33562699999,665468.64939399995,"0",
"53961345","0","223","20","5521","בית כנסת - ע""ש יצחק רבין",,"1","52390379","0","0",187580.49512700000,665344.02219399996,"0",
"53961353","0","223","20","5521",בית כנסת - תפארת ישראל,Tif'eret Yisra'el Synagogue,"1","52352181","0","0",196163.84812700000,666855.51729400002,"0",
