id,lat,long,from,to,raw_text
1686,31.432154,34.884095,2020-03-11 10:00:00,2020-03-14 10:00:00,תפילת שחרית ומנחה בבית כנסת - שומריה
1687,31.432154,34.884095,2020-03-11 10:00:00,2020-03-12 10:00:00,גנים טרום חובה וחובה - שומריה
1688,31.32683798,34.93920175,2020-03-11 10:00:00,2020-03-18 10:00:00,מרפאה כללית מיתר - מיתר
1689,32.6749277,35.2531498,2020-03-11 10:00:00,2020-03-11 10:30:00,טיפת חלב נוף העמק - מגדל העמק
1690,31.8729453,34.8142255,2020-03-11 10:00:00,2020-03-11 15:30:00,בית חולים קפלן- במסגרת לימודים - רחובות
1691,32.083895,34.856412,2020-03-11 11:00:00,2020-03-11 12:00:00,"קונדיטוריה דרימרי, רחוב הסיבים 49, פתח תקווה"
1692,31.7789446,35.2128554,2020-03-11 11:00:00,2020-03-11 13:00:00,"מרכז הפסגה', רח' מרדכי נרקיס, פסגת זאב ירושלים"
1693,32.0799527,34.8335241,2020-03-11 11:00:00,2020-03-11 11:45:00,"בנק ""פאדג'י"", רחוב הרב לנדאו 5, בני ברק"
1694,32.225137,34.8298934,2020-03-11 11:00:00,2020-03-11 12:30:00,Cקפה - געש
1695,32.0873548,34.8289585,2020-03-11 11:00:00,2020-03-11 15:00:00,בית הכנסת הגדול- כולל גרטלר - בני ברק
1696,32.09720557,34.83767579,2020-03-11 11:30:00,2020-03-11 14:00:00,כולל תפארת שלום - בני ברק
1697,32.3614838,34.8680263,2020-03-11 11:45:00,2020-03-11 11:50:00,"גלידה גולדה, מתחם בית אהרון"
1698,32.088982,34.859377,2020-03-11 12:00:00,2020-03-11 12:30:00,"סופר פארם במרכז יכין סנטר, רחוב שחם 17, פתח תקווה"
1699,32.0861406,34.7790996,2020-03-11 12:00:00,2020-03-11 12:30:00,שופרסל רחוב ארלוזורוב 53 תל אביב
1700,31.7804597,35.212513,2020-03-11 12:00:00,2020-03-11 12:30:00,בית כנסת אור חמה - ירושלים
1701,31.9036406,34.9958938,2020-03-11 12:20:00,2020-03-11 12:25:00,מרכז הבשר אטליז רחוב לשם 69 מודיעין
1702,32.6067953,35.2928779,2020-03-11 13:00:00,2020-03-11 13:30:00,"פיצוחי שני, השוק 2, עפולה"
1703,32.03435731,34.84867125,2020-03-11 13:00:00,2020-03-11 14:00:00,יוחננוף - אור יהודה
1704,32.14146186,34.81973285,2020-03-11 13:30:00,2020-03-11 14:30:00,"שוק משק קנטור, רחוב שרף רמת השרון"
1705,31.802537,35.213093,2020-03-11 13:40:00,2020-03-11 14:40:00,"קפה מלכה, הר חוצבים, רח' הרטום 9, ירושלים"
1706,32.18115122,34.87548877,2020-03-11 13:40:00,2020-03-11 14:00:00,תפילת מנחה בבית כנסת  מאחורי בנק הפועלים - רעננה
1707,32.7134837,35.335905,2020-03-11 14:00:00,2020-03-11 15:00:00,"מרכז המזון, נוף הגליל"
1708,32.06839088,34.77749575,2020-03-11 14:00:00,2020-03-11 15:00:00,"""חומוס אבו אכרם"", רח' שיינקין 59, תל אביב"
1709,32.0777635,34.76695494,2020-03-11 14:00:00,2020-03-11 17:00:00,קפה מצדה-נמל תל אביב - תל אביב - יפו
1710,32.0835611,34.7971878,2020-03-11 14:00:00,2020-03-11 14:28:00,דוכן קפה נטו בתחנת רכבת סבידור מרכז - תל אביב - יפו
1711,32.09913847,34.83837725,2020-03-11 14:00:00,2020-03-21 17:30:00,"ת""ת כרם גפן ישראל - בני ברק"
1712,31.991236,34.774565,2020-03-11 15:00:00,2020-03-11 16:00:00,"חנות ""מיניסינו"" בקניון הזהב, רחוב דויד שחרוב 21, ראשל""צ"
1713,31.77427332,35.18528287,2020-03-11 15:00:00,2020-03-11 23:00:00,"בי""ח שע""צ כירורגיה - ירושלים"
1714,31.7641922,35.1947682,2020-03-11 15:15:00,2020-03-11 17:30:00,"מעיין 2000 סניף גבעת מרדכי רחוב שח""ל 58 ירושלים"
1715,32.1122558,34.7959133,2020-03-11 15:30:00,2020-03-11 17:00:00,"קניון רמת אביב, רח' איינשטיין 40, תל אביב"
1716,31.7010023,35.1119254,2020-03-11 15:50:00,2020-03-11 16:00:00,ביתר עילית
1717,32.08138039,34.78962116,2020-03-11 16:00:00,2020-03-11 17:00:00,"קניון ויצמן, רחוב ויצמן 14, תל אביב"
1718,32.0637818,34.7716087,2020-03-11 16:00:00,2020-03-11 16:30:00,נחלת בנימין 61 תל אביב
1719,31.4308878,34.591165,2020-03-11 16:00:00,2020-03-11 18:00:00,"מכללה ""חמדת הדרום"" נתיבות"
1720,32.0636578,34.7716635,2020-03-11 16:00:00,2020-03-11 16:30:00,"פלאפל השרון, רחוב נחלת בנימין 61 תל אביב"
1721,32.074064,34.765475,2020-03-11 16:30:00,2020-03-11 17:30:00,לנדוור קפה בית האופרה - תל אביב - יפו
1722,32.9945034,35.0919974,2020-03-11 16:50:00,2020-03-11 17:23:00,KSP - נהריה
1723,31.773199,35.185261,2020-03-11 17:00:00,2020-03-11 17:20:00,בית חולים שערי צדק- מחלקה פנימית ב' - ירושלים
1724,32.12938656,34.82361868,2020-03-11 17:30:00,2020-03-11 18:15:00,בית עלמין - תל אביב - יפו
1725,32.0691568,34.7855231,2020-03-11 18:00:00,2020-03-11 19:00:00,"חדר כושר קאנטרי חשמונאים, קניון TLV תל אביב"
1726,32.1464078,34.8041896,2020-03-11 18:00:00,2020-03-11 19:00:00,"שופרסל דיל גלילות סינמה סיטי, רמת השרון"
1727,31.2473458,34.8113132,2020-03-11 18:00:00,2020-03-11 18:30:00,מסיבבה 16:15-16:30 - באר שבע
1728,32.087643,34.82967,2020-03-11 18:00:00,2020-03-11 21:10:00,חוג חתם סופר- בית מדרש - בני ברק
1729,32.0859029,34.8274948,2020-03-11 18:00:00,2020-03-11 23:30:00,אמרי אמת - בני ברק
1730,31.9033,34.995857,2020-03-11 18:25:00,2020-03-11 18:35:00,"""מרכז הבשר"" ברח' לשם מודיעין"
1731,31.9041783,34.9955207,2020-03-11 18:30:00,2020-03-11 18:40:00," ""המאפה של אודטה"" רחוב האודם 21 מודיעין"
1732,31.2412632,34.8118416,2020-03-11 18:30:00,2020-03-11 19:00:00,רמי לוי ביג - באר שבע
1733,32.2482737,34.8362212,2020-03-11 18:30:00,2020-03-11 19:30:00,ארט קפה - יקום
1734,31.468164,34.774822,2020-03-11 19:00:00,2020-03-11 19:05:00,"חנות ""YELLOW השקמה"" תחנת דלק ""פז השקמה"" בית קמה כביש 6 צפון"
1735,32.158797,34.831876,2020-03-11 19:00:00,2020-03-11 21:00:00,"קרוספיט הרצליה, קיבוץ גליל ים"
